,col_type,missing_vals,count,unique,top,freq,mean,std,min,25%,50%,75%,max
review_scores_checkin,float64,820,2765.0,8,,,9.64629294755877,0.7627532443950488,2.0,9.0,10.0,10.0,10.0
review_scores_communication,float64,818,2767.0,7,,,9.646548608601373,0.7355070014929745,4.0,9.0,10.0,10.0,10.0
review_scores_location,float64,822,2763.0,9,,,9.414042707202317,0.9034360234288117,2.0,9.0,10.0,10.0,10.0
review_scores_value,float64,821,2764.0,9,,,9.16823444283647,1.0111164575854952,2.0,9.0,9.0,10.0,10.0
requires_license,object,0,3585,1,f,3585,,,,,,,
license,float64,3585,0.0,0,,,,,,,,,
jurisdiction_names,float64,3585,0.0,0,,,,,,,,,
instant_bookable,object,0,3585,2,f,2991,,,,,,,
cancellation_policy,object,0,3585,4,strict,1582,,,,,,,
require_guest_profile_picture,object,0,3585,2,f,3518,,,,,,,
require_guest_phone_verification,object,0,3585,2,f,3348,,,,,,,
calculated_host_listings_count,int64,0,3585.0,25,,,12.733891213389121,29.41507587406177,1.0,1.0,2.0,6.0,136.0
reviews_per_month,float64,756,2829.0,644,,,1.970908448214916,2.120561457010628,0.01,0.48,1.17,2.72,19.15
